URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://play.googleapis.com,EXCEPTION,0,https,CONNECT,,/172.24.3.158,play.googleapis.com/0.0.116.241,java.net.ConnectException: Operation timed out (Connection timed out),14 Sep 2017 20:19:59,,,14 Sep 2017 20:21:16,77133,1,,,,,,0.001953125,,,178,,,,,
http://r.inews.qq.com/getPatchAndroid?networktype=wifi&apptype=android&targetsdk=19&hw=TECNO_A6_Phantom6_6.0_MRA58K_A6_H551C1_M_170112V126_userdebug_release_keys&devid=9318c794e4c75cb4&appversion=5.4.30&appver=23_android_5.4.30&qn-sig=d2bce6ebca2603525da9b366d342b9f0&qn-rid=2087097779&patchsdkver=0.3&store=17,COMPLETE,200,http,POST,application/json,/172.24.3.158,r.inews.qq.com/0.0.116.243,,14 Sep 2017 20:20:04,14 Sep 2017 20:20:04,14 Sep 2017 20:20:04,14 Sep 2017 20:20:04,102,4,17,,0,0,81,11.421875,0.0,0.0,554,373,213,53,,-120.8%
http://btrace.qq.com/kvcollect,COMPLETE,200,http,POST,image/gif,/172.24.3.158,btrace.qq.com/0.0.116.245,,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,28,2,14,,1,1,10,23.262695,635.7422,15.625,287,364,14,2,0.0%,
http://vv.video.qq.com/checktime,COMPLETE,200,http,POST,application/x-javascript; charset=utf-8,/172.24.3.158,vv.video.qq.com/0.0.116.247,,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,111,7,53,,0,0,51,4.178711,0.0,0.0,197,60,93,125,,
http://dp3.qq.com/dynamic/?get_type=videosdk&platform=android_static_mma,COMPLETE,200,http,GET,application/xml,/172.24.3.158,dp3.qq.com/0.0.116.249,,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,64,4,17,,1,22,20,385.7422,205.07812,1112.8369,210,,236,24834,,
http://dp3.qq.com/dynamic/,COMPLETE,200,http,POST,application/xml,/172.24.3.158,dp3.qq.com/0.0.116.249,,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,53,3,18,,2,3,27,79.06445,578.125,1011.3926,218,966,234,2873,,
https://dp3.qq.com/ab?data=AdiIlDlcnKXLQu1Gx%2BHOa9diL4tWmRqnbOKX1z5PbMnx%2F%2FXL5NOJMbp1b15B20UjC3%2FrMT%2FW7tHD%2Fik0Sn5er43g5RKb%2BkbtpEyyovcSisAkUXVCbxsfnjnhntQXt%2Be9acUC6K6mm7TES0bOMCPFhD55yPOmE35HyarHhk42Z0JhcZvG92LX2Vg0k5cSP1AZbUMhGXwk7NryMkovN6q%2BO99g6y3%2BBClVbzKuAu2NDItot2pI4%2FhLI81T0SEI3T3RP0s%2FmVunaOHXuJE2143kub9AT%2FlfiiAESCXoKoEtjnsI5RIlaL0ZPWTVe3okmAqnLNWg3q6%2F%2Foxsl3tv8QDtt8ZSjj4s7mbr5xWNqflgE%2Bj8rebFS%2BM427wRKeYrdIyA0yTx5p1FAB9X1MYw2DOibybrTbQHRRk7ijN6ecZdDZlyKMIOU4yfXUPWTIkRovFemmaFwaLTvOnQZ7hQXyQ52ZDDZbz5lcoMEcXA5k%2FO0dZkSH2fXezrRHdRTtPZnu949GUhWGYyYIfSyZG5T4WZ5aP9MDjnyfiis5heQeKNWx6BdJytPCNTPsZgKCS6Qpzvx7IaTsUQCblz2tKPb1W5oCJMynGXEcAo%2BvEhNPXQS%2FFuhkhh%2BEonUwmL3udompXiv%2B45ljX1lo33Nd%2FR5o63%2FkqvqnWo0jJQY%2Bdk9ag0xuzH8f%2Bz2Gr5STVz88FYNbT1m96Z11i1fcj5%2FTPXduLspwshPrMOYTSnKaJBNZrtCtE5wk3TxKsUbYsPo2gdlhASMAdqXtYbWXjp52mgb0bjeRSHRhmvACpqxjQblrJZui3L,COMPLETE,200,https,GET,text/json,/172.24.3.158,dp3.qq.com/0.0.116.249,,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,59,2,15,35,0,1,6,17.759766,0.0,16.601562,1056,,0,17,,
http://u.l.qq.com/ruuid,COMPLETE,200,http,POST,application/json; charset=utf-8,/172.24.3.158,u.l.qq.com/0.0.116.251,,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,67,11,21,,1,0,34,20.550781,1205.0781,0.0,766,468,109,67,,
http://sdkconfig.video.qq.com/getmfomat?guid=9318c794e4c75cb4&cpufreq=1144&cpuarch=7&install_time=1505196009&numofcpucore=8&imei=NONE&appver=V4.1.120.1777&cpuname=MT6755&sysver=6.0&randnum=0.8645026466889739&imsi=&qqlog=&uin=&cmd=get_android_fomat&mac=00%3A08%3A22%3A36%3A14%3AFC&height=1806&otype=json&osver=6.0&market_id=-1&platform=aphone&player_channel_id=120&device_id=9318c794e4c75cb4&network_type=1&submodel=&width=1080&model=Phantom6,COMPLETE,200,http,GET,text/plain; charset=utf-8,/172.24.3.158,sdkconfig.video.qq.com/0.0.116.253,,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,95,16,41,,1,1,36,6.897461,567.3828,87.890625,581,,0,90,,
http://mcgi.v.qq.com/commdatav2?device=Phantom6&qqlog=&device_type=Phantom6&cmd=50&guid=9318c794e4c75cb4&playerver=V4.1.120.1777&selfguid=9318c794e4c75cb4&os=2&market_id=-1&platform=2&install_time=1505196009&player_channel_id=120&device_id=NONE&appver=5.4.30&lang=zh&sysver=6.0&os_version=23&randnum=0.4845752522780654,COMPLETE,200,http,GET,application/x-javascript; charset=utf8,/172.24.3.158,mcgi.v.qq.com/0.0.116.255,,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,107,14,16,,0,1,76,6.498047,0.0,248.04688,458,,207,47,,
http://p.l.qq.com/p?oid=1100031837&cid=0&loid=0&index=0&seq=0&exp_action=0&channel=2017-09-14&pvLimit=-1&pvFcs=-1&media_id=&article_id=&pv_type=0&exp=0&openApp=0&loc=App_News_Splash&soid=Cr0gOjWRWbkRxgKMnweUsaRNAaSM&ping_data=dXNlcl9pbmZvPW9CM2pnVGd4RnhHNyZ2aWV3aXA9MTcxNjAyOTIwJnVwX3ZlcnNpb249TDE2JnVzZV9heHA9MCZheHBoZWFkZXI9MQ%3D%3D&server_data=c29pZD1DcjBnT2pXUldia1J4Z0tNbndlVXNhUk5BYVNN&gdt_aid=0&app_channel=17&appid_installed=-1&dtype=3&chid=2&appversion=170715&pf=aphone&data=AdiIlDlcnKXLQu1Gx%2BHOa9diL4tWmRqnbOKX1z5PbMnx%2F%2FXL5NOJMbp1b15B20UjC3%2FrMT%2FW7tHD%2Fik0Sn5er43g5RKb%2BkbtpEyyovcSisAkUXVCbxsfnjnhntQXt%2Be9acUC6K6mm7TES0bOMCPFhD55yPOmE35HyarHhk42Z0JhcZvG92LX2Vg0k5cSP1AZbUMhGXwk7NryMkovN6q%2BO99g6y3%2BBClVbzKuAu2NDItot2pI4%2FhLI81T0SEI3T3RP0s%2FmVunaOHXuJE2143kub9AT%2FlfiiAESCXoKoEtjnsI5RIlaL0ZPWTVe3okmAqnLNWg3q6%2F%2Foxsl3tv8QDtt8ZSjj4s7mbr5xWNqflgE%2Bj8rebFS%2BM427wRKeYrdIyA0yTx5p1FAB9X1MYw2DOibybrTbQHRRk7ijN6ecZdDZlyKMIOU4yfXUPWTIkRovFemmaFwaLTvOnQZ7hQXyQ52ZDDZbz5lcoMEcXA5k%2FO0dZkSH2fXezrRHdRTtPZnu949GUhWGYyYIfSyZG5T4WZ5aP9MDjnyfiis5heQeKNWx6BdJytPCNTPsZgKCS6Qpzvx7IaTsUQCblz2tKPb1W5oCJMynGXEcAo%2BvEhNPXQS%2FFuhkhh%2BEonUwmL3udompXiv%2B45ljX1lo33Nd%2FR5o63%2FkqvqnWo0jJQY%2Bdk9ag0xuzH8f%2Bz2Gr5STVz88FYNbT1m96Z11i1fcj5%2FTPXduLspwshPrMOYTSnKaJBNZrtCtE5wk3TxKsUbYsPo2gdlhASMAdqXtYbWXjp52mgb0bjeRSHRhmvACpqxjQblrJZui3L&st=0,COMPLETE,200,http,GET,text/html; charset=GB2312,/172.24.3.158,p.l.qq.com/0.0.117.1,,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,14 Sep 2017 20:20:05,43,12,17,,1,1,12,55.549805,1955.0781,433.59375,2002,,441,3,,
http://omgmta.qq.com:80/mstat/report/?index=1505391605,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:05,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,89,5,45,,0,0,39,12.080078,0.0,0.0,169,884,0,48,0.0%,0.0%
http://pingma.qq.com:80/mstat/report/?index=1505391605,COMPLETE,200,http,POST,,/172.24.3.158,pingma.qq.com/0.0.117.6,,14 Sep 2017 20:20:05,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,87,2,48,,0,0,37,10.483398,0.0,0.0,169,717,0,48,0.0%,0.0%
http://android.bugly.qq.com/rqd/async?aid=8dae8975-b687-4206-988f-981c8caf8ca3,COMPLETE,200,http,POST,,/172.24.3.158,android.bugly.qq.com/0.0.117.8,,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,31,2,14,,1,1,13,62.657227,1547.8516,394.53125,527,1058,117,287,,
http://pingma.qq.com:80/mstat/report/?index=1505391606,COMPLETE,200,http,POST,,/172.24.3.158,pingma.qq.com/0.0.117.6,,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,38,,,,0,0,38,23.051758,0.0,0.0,169,699,0,29,0.0%,0.0%
http://omgmta.qq.com:80/mstat/report/?index=1505391606,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,40,,,,0,1,39,19.628906,0.0,28.320312,169,606,0,29,0.0%,0.0%
http://omgmta.qq.com:80/mstat/report/?index=1505391607,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,35,,,,0,0,35,20.088867,0.0,0.0,169,522,0,29,0.0%,0.0%
http://pingma.qq.com:80/mstat/report/?index=1505391607,COMPLETE,200,http,POST,,/172.24.3.158,pingma.qq.com/0.0.117.6,,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,38,,,,0,0,38,20.661133,0.0,0.0,169,606,0,29,0.0%,0.0%
http://omgmta.qq.com:80/mstat/report/?index=1505391608,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,41,,,,1,0,40,17.31543,681.6406,0.0,169,529,0,29,0.0%,0.0%
http://omgmta.qq.com:80/mstat/report/?index=1505391609,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,35,,,,0,0,35,20.200195,0.0,0.0,169,526,0,29,0.0%,0.0%
http://w.inews.qq.com/getSubLocalChannels?isoem=0&mid=b09592087439eed84ab5885f7c98cc603abe84e4&dpi=480&devid=9318c794e4c75cb4&is_chinamobile_oem=0&mac=00%3A08%3A22%3A36%3A14%3AFC&real_device_width=2.25&store=17&screen_height=1806&real_device_height=4.0&apptype=android&origin_imei=&orig_store=17&hw=TECNO_Phantom6&appver=23_android_5.4.30&uid=9318c794e4c75cb4&screen_width=1080&sceneid=&adcode=310101&omgid=&locId=310101&activefrom=icon&qqnetwork=wifi&rom_type=&Cookie=lskey%3D%3Bluin%3D%3Bskey%3D%3Buin%3D%3B%20logintype%3D0%3B%20main_login%3Dqq%3B%20&network_type=wifi&global_info=2%7C&imsi_history=0&omgbizid=&qn-sig=2133d85df9b473b49ae0f967740c87d1&qn-rid=2a9e1a7e-1470-46f3-b446-629575d8c799&imsi=,COMPLETE,200,http,GET,application/json,/172.24.3.158,w.inews.qq.com/0.0.117.10,,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,309,11,18,,0,197,83,439.91113,0.0,685.34766,941,,230,138024,,
http://r.inews.qq.com/checkForUpdate?isoem=0&mid=b09592087439eed84ab5885f7c98cc603abe84e4&dpi=480&devid=9318c794e4c75cb4&is_chinamobile_oem=0&mac=00%3A08%3A22%3A36%3A14%3AFC&real_device_width=2.25&store=17&screen_height=1806&real_device_height=4.0&apptype=android&origin_imei=&orig_store=17&hw=TECNO_Phantom6&appver=23_android_5.4.30&uid=9318c794e4c75cb4&screen_width=1080&sceneid=&adcode=310101&update=0&omgid=&activefrom=icon&qqnetwork=wifi&rom_type=&Cookie=lskey%3D%3Bluin%3D%3Bskey%3D%3Buin%3D%3B%20logintype%3D0%3B%20main_login%3Dqq%3B%20&network_type=wifi&chlid=&global_info=2%7C&imsi_history=0&omgbizid=&qn-sig=abf108aaa0a7ac3b98745e1de844accf&qn-rid=f7ba8f60-798c-4e73-9197-1a939aaa1b91&imsi=,COMPLETE,200,http,GET,application/json,/172.24.3.158,r.inews.qq.com/0.0.116.243,,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:11,14 Sep 2017 20:20:11,4840,8,9,,1,1,4821,0.25878906,920.89844,335.9375,943,,228,116,,7.2%
http://omgmta.qq.com:80/mstat/report/?index=1505391610,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,38,,,,1,1,36,20.661133,756.83594,28.320312,169,606,0,29,0.0%,0.0%
http://omgmta.qq.com:80/mstat/report/?index=1505391611,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,14 Sep 2017 20:20:06,40,,,,0,0,40,19.604492,0.0,0.0,169,605,0,29,0.0%,0.0%
http://w.inews.qq.com/searchPage?isoem=0&mid=b09592087439eed84ab5885f7c98cc603abe84e4&dpi=480&devid=9318c794e4c75cb4&is_chinamobile_oem=0&mac=00%3A08%3A22%3A36%3A14%3AFC&real_device_width=2.25&store=17&screen_height=1806&real_device_height=4.0&apptype=android&origin_imei=&orig_store=17&hw=TECNO_Phantom6&appver=23_android_5.4.30&uid=9318c794e4c75cb4&screen_width=1080&sceneid=&adcode=310101&pagefrom=top&omgid=&activefrom=icon&qqnetwork=wifi&rom_type=&Cookie=lskey%3D%3Bluin%3D%3Bskey%3D%3Buin%3D%3B%20logintype%3D0%3B%20main_login%3Dqq%3B%20&network_type=wifi&global_info=2%7C&imsi_history=0&omgbizid=&qn-sig=a3ea6dedbd0d186fbe0df6195f461632&qn-rid=86270ca1-f077-4263-86d0-2a47b1a48c6b&imsi=,COMPLETE,200,http,GET,application/json,/172.24.3.158,w.inews.qq.com/0.0.117.10,,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,116,2,8,,0,6,100,97.538086,0.0,1733.3984,936,,234,10416,,79.9%
http://omgmta.qq.com:80/mstat/report/?index=1505391612,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,38,,,,0,1,37,19.19629,0.0,28.320312,169,549,0,29,0.0%,0.0%
http://w.inews.qq.com/reportLog?isoem=0&mid=b09592087439eed84ab5885f7c98cc603abe84e4&dpi=480&devid=9318c794e4c75cb4&is_chinamobile_oem=0&mac=00%3A08%3A22%3A36%3A14%3AFC&real_device_width=2.25&store=17&screen_height=1806&real_device_height=4.0&apptype=android&origin_imei=&orig_store=17&hw=TECNO_Phantom6&appver=23_android_5.4.30&uid=9318c794e4c75cb4&screen_width=1080&sceneid=&adcode=310101&omgid=&data=%5B%22news_news_top%22%2C%22news_video_top%22%2C%22news_news_sh%22%2C%22news_news_ent%22%2C%22news_news_sports%22%2C%22news_news_nba%22%2C%22news_news_finance%22%2C%22news_news_auto%22%2C%22news_news_tech%22%2C%22news_news_ssh%22%2C%22news_news_mil%22%2C%22news_news_world%22%2C%22news_news_lad%22%2C%22news_news_game%22%2C%22news_video_main%22%2C%22news_news_digi%22%2C%22news_news_movie%22%2C%22news_news_edu%22%2C%22news_news_lic%22%2C%22news_news_zongyi%22%2C%22news_news_hanliu%22%2C%22news_news_football%22%2C%22news_news_pet%22%2C%22news_news_msh%22%5D&activefrom=icon&qqnetwork=wifi&op=user_chlid&rom_type=&Cookie=lskey%3D%3Bluin%3D%3Bskey%3D%3Buin%3D%3B%20logintype%3D0%3B%20main_login%3Dqq%3B%20&network_type=wifi&global_info=2%7C&imsi_history=0&omgbizid=&qn-sig=6c1276544ecaaf7ff4bb965cfdc4442f&qn-rid=05986ecd-7f8a-496b-bc20-f5585cca4ae1&imsi=,COMPLETE,502,http,GET,text/html; charset=utf-8,/172.24.3.158,w.inews.qq.com/0.0.117.10,,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:11,14 Sep 2017 20:20:11,4399,3,9,,0,4,4383,0.39746094,0.0,70.80078,1501,,124,166,,
http://omgmta.qq.com:80/mstat/report/?index=1505391613,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,37,,,,1,0,36,19.082031,677.7344,0.0,169,525,0,29,0.0%,0.0%
http://omgmta.qq.com:80/mstat/report/?index=1505391614,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,45,,,,3,0,42,113.78027,1697.2656,0.0,170,5044,0,29,0.0%,0.0%
http://omgmta.qq.com:80/mstat/report/?index=1505391615,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,35,,,,0,0,35,22.572266,0.0,0.0,169,611,0,29,0.0%,0.0%
https://sec.video.qq.com,EXCEPTION,0,https,CONNECT,,/172.24.3.158,sec.video.qq.com/0.0.117.12,javax.net.ssl.SSLHandshakeException: Received fatal alert: certificate_unknown,14 Sep 2017 20:20:07,,,14 Sep 2017 20:20:07,57,1,14,15,,,,2.8779297,,,168,,,,,
http://omgmta.qq.com:80/mstat/report/?index=1505391616,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,35,,,,0,0,35,20.368164,0.0,0.0,169,532,0,29,0.0%,0.0%
https://sec.video.qq.com,EXCEPTION,0,https,CONNECT,,/172.24.3.158,sec.video.qq.com/0.0.117.12,javax.net.ssl.SSLHandshakeException: Received fatal alert: certificate_unknown,14 Sep 2017 20:20:07,,,14 Sep 2017 20:20:07,85,5,5,9,,,,1.9296875,,,168,,,,,
http://omgmta.qq.com:80/mstat/report/?index=1505391617,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,37,,,,0,1,36,21.246094,0.0,28.320312,169,607,0,29,0.0%,0.0%
https://sec.video.qq.com,EXCEPTION,0,https,CONNECT,,/172.24.3.158,sec.video.qq.com/0.0.117.12,javax.net.ssl.SSLHandshakeException: Received fatal alert: certificate_unknown,14 Sep 2017 20:20:07,,,14 Sep 2017 20:20:07,36,2,8,12,,,,4.5566406,,,168,,,,,
http://r.inews.qq.com/getQQNewsUnreadList?isoem=0&mid=b09592087439eed84ab5885f7c98cc603abe84e4&dpi=480&devid=9318c794e4c75cb4&is_chinamobile_oem=0&mac=00%3A08%3A22%3A36%3A14%3AFC&real_device_width=2.25&store=17&screen_height=1806&real_device_height=4.0&apptype=android&origin_imei=&orig_store=17&hw=TECNO_Phantom6&appver=23_android_5.4.30&uid=9318c794e4c75cb4&screen_width=1080&sceneid=&adcode=310101&last_id=&omgid=&forward=2&activefrom=icon&qqnetwork=wifi&last_time=1505391606&rom_type=&needSpreadAds=1&lc_ids=&Cookie=lskey%3D%3Bluin%3D%3Bskey%3D%3Buin%3D%3B%20logintype%3D0%3B%20main_login%3Dqq%3B%20&kankaninfo=%7B%22refresh%22%3A1%2C%22gender%22%3A1%2C%22scene%22%3A1%7D&network_type=wifi&chlid=news_video_top&global_info=2%7C&rendType=kankan&imsi_history=0&omgbizid=&user_chlid=news_news_sh%2Cnews_news_ent%2Cnews_news_sports%2Cnews_news_nba%2Cnews_news_finance%2Cnews_news_tech%2Cnews_news_ssh&qn-sig=91848b4d08732749f1c064bee8ae97d1&qn-rid=3e6aedae-5262-4f53-b489-99c918d506eb&page=0&imsi=,COMPLETE,200,http,POST,application/json,/172.24.3.158,r.inews.qq.com/0.0.116.243,,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,153,3,8,,0,8,134,77.288086,0.0,1251.831,1311,543,234,10021,,84.6%
http://r.inews.qq.com/getQQNewsUnreadList?isoem=0&mid=b09592087439eed84ab5885f7c98cc603abe84e4&dpi=480&devid=9318c794e4c75cb4&is_chinamobile_oem=0&mac=00%3A08%3A22%3A36%3A14%3AFC&real_device_width=2.25&store=17&screen_height=1806&real_device_height=4.0&apptype=android&origin_imei=&orig_store=17&hw=TECNO_Phantom6&appver=23_android_5.4.30&uid=9318c794e4c75cb4&screen_width=1080&sceneid=&adcode=310101&last_id=&omgid=&forward=2&activefrom=icon&qqnetwork=wifi&last_time=1505391606&rom_type=&needSpreadAds=1&lc_ids=&Cookie=lskey%3D%3Bluin%3D%3Bskey%3D%3Buin%3D%3B%20logintype%3D0%3B%20main_login%3Dqq%3B%20&network_type=wifi&chlid=news_news_top&global_info=2%7C&imsi_history=0&omgbizid=&user_chlid=news_news_sh%2Cnews_news_ent%2Cnews_news_sports%2Cnews_news_nba%2Cnews_news_finance%2Cnews_news_tech%2Cnews_news_ssh&qn-sig=54c190e966845f0554073ded1e2f1e44&qn-rid=4b6b5daa-76de-4e16-86c0-e89e6a87a7b7&page=0&imsi=,COMPLETE,200,http,POST,application/json,/172.24.3.158,r.inews.qq.com/0.0.116.243,,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,180,4,7,,1,12,156,82.74121,1723.6328,1097.4932,1222,543,234,13252,,80.7%
http://omgmta.qq.com:80/mstat/report/?index=1505391618,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,37,,,,0,1,36,19.689453,0.0,28.320312,169,548,0,29,0.0%,0.0%
https://sec.video.qq.com,EXCEPTION,0,https,CONNECT,,/172.24.3.158,sec.video.qq.com/0.0.117.12,javax.net.ssl.SSLHandshakeException: Received fatal alert: certificate_unknown,14 Sep 2017 20:20:07,,,14 Sep 2017 20:20:07,45,4,10,11,,,,3.6455078,,,168,,,,,
https://sec.video.qq.com,EXCEPTION,0,https,CONNECT,,/172.24.3.158,sec.video.qq.com/0.0.117.12,javax.net.ssl.SSLHandshakeException: Received fatal alert: certificate_unknown,14 Sep 2017 20:20:07,,,14 Sep 2017 20:20:07,50,7,4,10,,,,3.28125,,,168,,,,,
http://omgmta.qq.com:80/mstat/report/?index=1505391619,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:07,14 Sep 2017 20:20:07,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,39,,,,1,0,38,18.830078,706.0547,0.0,169,554,0,29,0.0%,0.0%
http://omgmta.qq.com:80/mstat/report/?index=1505391620,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,37,,,,1,0,36,21.19336,755.8594,0.0,169,605,0,29,0.0%,0.0%
http://omgmta.qq.com:80/mstat/report/?index=1505391621,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,40,,,,1,0,39,20.629883,796.875,0.0,169,647,0,29,0.0%,0.0%
http://omgmta.qq.com:80/mstat/report/?index=1505391622,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,36,,,,0,1,35,22.921875,0.0,28.320312,169,647,0,29,0.0%,0.0%
http://news.l.qq.com/app,COMPLETE,200,http,POST,application/javascript; charset=utf-8,/172.24.3.158,news.l.qq.com/0.0.117.15,,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,95,7,39,,2,1,46,72.697266,926.7578,5052.7344,665,1233,299,4875,,69.6%
http://news.l.qq.com/app,COMPLETE,200,http,POST,application/javascript; charset=utf-8,/172.24.3.158,news.l.qq.com/0.0.117.15,,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,369,11,36,,0,38,284,27.470703,0.0,211.47656,665,1486,426,7803,,72.3%
http://omgmta.qq.com:80/mstat/report/?index=1505391623,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,36,,,,1,0,35,22.867188,794.9219,0.0,169,645,0,29,0.0%,0.0%
http://omgmta.qq.com:80/mstat/report/?index=1505391624,COMPLETE,200,http,POST,,/172.24.3.158,omgmta.qq.com/0.0.117.4,,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,14 Sep 2017 20:20:08,36,,,,1,0,35,22.894531,795.89844,0.0,169,646,0,29,0.0%,0.0%
